pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,332,Haiti,HTI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,262114483,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,334,Heard Island and McDonald Islands,HMD,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,473,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,334,Heard Island and McDonald Islands,HMD,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,6002,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,336,Holy See (Vatican City State),VAT,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,245230,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,336,Holy See (Vatican City State),VAT,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,17806,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,340,Honduras,HND,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,57906847,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,340,Honduras,HND,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,319439939,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,340,Honduras,HND,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,54847,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,2247655567,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,492505577,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,348,Hungary,HUN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,296279503,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,348,Hungary,HUN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,70927426,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,352,Iceland,ISL,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,38772937,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,352,Iceland,ISL,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,107405366,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,360,Indonesia,IDN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,153901079,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,360,Indonesia,IDN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,94988947,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,368,Iraq,IRQ,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,25119956,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,368,Iraq,IRQ,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,38119782,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,368,Iraq,IRQ,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,4458,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,372,Ireland,IRL,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,4950252047,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,372,Ireland,IRL,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,225119179,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,376,Israel,ISR,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1373450654,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,376,Israel,ISR,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,341072327,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,376,Israel,ISR,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,16236,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,381,Italy,ITA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1933608067,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,381,Italy,ITA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,626927849,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,381,Italy,ITA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,68900,,,0
