yr,rgCode,rtCode,ptCode,cmdCode,TradeValue
2015,2,246,752,10,8526049
2009,2,586,262,17,198046
2004,1,36,124,96,324030
2018,2,558,0,18,7023609
2015,1,620,764,91,35427
2006,1,760,100,48,513207
2008,1,410,736,74,4533486
1998,1,818,788,49,21954
2013,1,24,579,68,39385
2000,1,36,702,15,12116869
2005,1,340,170,64,12911
2005,1,251,682,40,82122
2017,1,608,660,60,5986
2008,1,191,246,64,6727
1994,2,642,643,19,6000
2001,2,702,528,85,1405997351
2004,2,792,736,83,263243
2014,1,616,76,19,470
2007,2,757,516,93,439
2019,1,381,372,16,5745410
1999,1,736,818,57,1153
2010,1,96,392,55,26037
2003,2,422,266,44,101
2016,1,818,381,30,62206494
2009,2,32,400,28,111
2004,1,40,608,96,163300
2016,1,196,381,38,4764355
1997,1,711,170,70,17902
1994,2,842,484,63,137539708
2016,2,608,208,29,14890
2016,1,178,372,62,778
2002,1,192,222,52,876100
2018,1,344,583,03,176913
2007,2,699,504,95,19967
2008,1,670,470,22,27238
2015,1,348,458,61,90075
2001,2,222,554,61,3420
2003,2,826,414,33,10587104
1990,1,410,144,21,905
2012,2,381,624,49,6653
1994,1,348,276,74,18488000
2007,1,586,410,32,22788005
1999,2,268,899,19,1075
2014,1,8,764,23,126
2017,1,231,404,74,2284
2014,1,882,0,34,5239937
2009,1,710,320,30,2361
1996,3,842,208,12,31864
1997,2,842,660,29,18367
2001,2,392,36,91,1017657
2015,2,381,56,44,34281078
2018,2,804,728,88,291176
2016,1,414,784,67,11903
2000,1,834,156,11,47812
2004,1,276,616,04,126204000
2005,1,876,579,94,6208
2001,1,470,826,06,4165
2011,2,524,699,59,298241
2005,2,50,716,69,416
2012,2,834,528,04,14490
1999,2,156,320,32,614924
2015,1,682,372,90,76642742
2015,1,251,498,08,29598860
2014,1,140,757,94,260072
1995,2,579,32,95,1261572
2006,1,818,191,34,220610
2007,2,566,686,76,68197
2006,2,818,504,06,5977
2018,2,156,231,73,147417717
2000,1,690,124,87,759
2000,2,203,703,67,298423
2011,2,642,688,37,25684
2006,2,752,398,84,33260497
2012,1,258,620,82,46830
2003,2,97,660,99,93335
2007,2,124,292,27,39798872
2015,2,540,156,44,209457
2014,2,218,620,44,4516
1995,1,736,251,88,259727
2011,1,178,400,73,19875
2010,1,442,246,76,4403
2017,1,76,352,49,48
2005,2,826,48,33,4622166
2015,1,100,251,65,389466
2006,1,705,40,09,1547308
2014,2,694,0,70,5983
1998,1,36,76,54,2216
2011,1,124,426,39,26
2008,1,704,276,24,306432
2015,2,352,392,51,39307
2013,2,218,376,88,11595
2007,2,56,834,56,22790
2014,1,528,524,13,23454
2003,1,591,40,49,14961
2003,1,208,818,88,1174
2006,1,642,208,71,13997
2013,1,40,76,85,14567938
2000,1,516,660,01,21
2007,1,64,0,66,32925
2004,1,616,752,64,179552
2012,1,60,392,49,1671
1997,1,360,842,38,118515840
2018,1,688,528,37,1089880
2006,2,251,508,84,5523498
2016,1,440,620,34,4878
1997,1,231,58,40,1350825
2011,2,381,531,87,290098
2015,2,699,524,61,6067374
2004,1,710,56,32,10986037
2013,2,76,152,11,583372
2006,1,276,804,95,18201000
2013,2,554,262,89,6483
2016,1,90,276,56,329
2003,2,620,862,63,66206
2006,2,97,654,69,138053
2016,2,381,729,93,6358
2013,1,404,156,75,31
2015,1,410,579,85,426038287
2008,2,360,860,85,34406
2004,2,251,203,52,4076726
2014,2,764,540,05,3656
2015,1,203,704,58,503000
2000,2,100,191,83,44
2012,2,203,124,52,297999
2015,1,222,699,58,28957
2017,1,858,251,29,1923067
2004,1,702,24,85,23823
2004,1,710,426,71,166171
2005,1,242,360,17,301850
2015,2,807,642,38,2785
2015,1,276,233,49,260968
2002,1,68,724,43,21
2013,1,780,591,70,36901
2001,1,170,764,71,209305
2017,1,40,352,30,670453
1992,2,246,842,11,9510
1993,1,780,826,66,6265
2015,1,484,608,84,542199252
1999,1,76,899,87,3397180
2007,1,458,208,02,23146497
2019,1,842,234,42,2483
2007,1,36,372,09,19201
2018,2,699,498,72,52087
2010,2,381,140,95,2085
1997,1,170,752,52,10095
2010,2,124,376,19,2187966
2019,2,842,90,99,8136324
2013,1,51,144,70,56
2013,2,686,724,95,2819
2015,2,36,504,38,13028
2017,2,703,579,32,952
2013,2,804,528,81,4668259
2003,1,591,0,64,53382204
2006,1,48,826,76,2339789
